pitcher_id,pitcher_trackman_id,global_cost
20700,74359,0.5696441
20938,68908,1.1153383
21279,62966,0.6426356
21372,63638,1.2018087
21402,67603,0.5042945
21414,63248,0.8548383
21558,69745,0.99110746
21595,64615,0.73087096
21622,52901,0.960353
21699,75867,1.321707
21754,63145,1.0768005
21795,69413,0.74236584
21813,65665,0.34980232
21830,78352,0.8003478
21840,62146,1.2507963
21874,50662,1.3101267
21875,50900,1.0145028
21916,65320,0.0060410104
21955,69940,0.69052285
21961,64021,0.5244475
21991,69159,1.1633174
21994,60337,1.2265878
22028,64047,0.51086754
22029,69054,0.6872017
22110,60146,0.9648363
22118,76118,0.40710813
22131,67954,0.8850074
22143,66609,1.1721989
22156,66990,0.4064533
22201,65058,1.9703388
22220,64718,0.6430918
22233,73248,1.7521278
22250,60140,1.4074026
22278,77927,-0.11616624
22280,67266,0.84034
22292,64596,0.710745
22293,72523,1.230354
22302,68403,0.7272739
22311,66018,0.991767
22321,63104,0.72849613
22335,69969,0.7434238
22368,61365,0.9398707
22380,656212,0.9823863
22389,65769,0.19843437
22397,74857,0.081983484
22458,65933,0.72250795
22469,543557,0.5707112
22487,61457,0.6941766
22508,61156,1.5288827
22524,65042,0.80435675
22525,69974,1.2770934
22541,62242,1.5791814
22547,73117,0.34218812
22551,67737,2.2993464
22579,67640,1.8249182
22595,65398,1.3538595
22617,65062,1.1659285
22621,51301,0.6668966
22622,77563,0.94071865
22640,69435,1.8608099
22666,63292,1.4819547
22667,64580,0.9028913
22668,543594,0.505967
22675,63959,0.97372407
22703,69656,0.16353574
22717,641149,0.80102843
22721,69134,0.7280261
22729,76650,0.38105074
22730,61145,0.7303858
22731,73801,1.4852716
22734,63111,0.7248557
22735,68900,0.29623106
22743,69168,1.3011307
22772,64051,0.3354853
22776,78517,1.098005
22782,66291,0.31604218
22784,66039,1.6357387
22795,68415,1.2566059
22815,99445,1.9066437
22890,518445,0.40236384
22905,60634,0.87494165
22908,605498,0.73484594
22911,69620,0.9650041
22922,67119,0.87383074
22923,62648,1.0488415
22926,649963,0.7936448
22996,61643,0.95574427
23024,65696,0.45145273
23035,65516,0.39860076
23090,78366,0.20739149
23092,65643,0.28578797
23097,595001,0.76346314
23151,79825,1.5162
23154,69104,1.5177618
23157,66145,4.069445
23158,73738,1.793936
23190,52397,1.008802
23206,534648,0.5976375
23225,63492,1.2841543
23229,594902,0.95781744
23258,64267,1.9880965
23288,50705,0.38354284
23289,63765,0.6196548
23307,77318,0.59713084
23312,79764,0.7070271
23331,77263,1.9056063
23332,72447,0.72977215
23334,76329,0.82138985
23336,64805,1.9385097
23347,51648,0.45000592
23360,51393,0.84782326
23363,67828,0.52777463
23411,51715,0.9611093
23421,51454,0.62279284
23422,68419,0.6199792
23437,63749,1.3641315
23439,62611,1.3340076
23484,50901,1.854695
23500,68585,0.84925085
23501,69550,0.5760609
23502,72862,1.8108854
23504,51516,0.57596815
23515,69399,1.006381
23518,62363,0.42679146
23519,69328,2.8449912
23534,66920,0.79691935
23536,65206,0.7023584
23557,61329,0.422631
23558,51901,0.7785217
23564,67989,1.4948133
23565,68910,0.38398814
23567,60181,2.164807
23568,68240,1.5993791
23589,69047,0.77460724
23590,65048,0.12263997
23599,75342,2.4907064
23624,50911,2.1577065
23627,62951,1.147768
23633,77446,0.31628144
23634,63960,0.2626769
23638,67421,0.46647793
23640,65937,2.097547
23644,75421,0.4719804
23650,621245,1.0165156
23654,74630,0.4824461
23655,548384,0.1341245
23665,62528,0.7083898
23673,68639,0.3995535
23690,70425,1.2197082
23694,79229,0.4728317
23696,458676,0.6048992
23697,61214,0.630227
23719,518852,-0.014211095
23727,63930,1.5778742
23737,67944,0.8752578
23745,65764,0.10508069
23748,52701,0.600672
23749,64760,0.91854954
23758,77637,0.633403
23759,543184,0.68274677
23761,63991,1.3360695
23765,69934,3.0397482
23766,75258,0.6687025
23769,605138,0.5418663
23772,65057,0.450291
23783,78148,1.4042794
23784,76455,0.837931
23785,60845,2.665504
23843,69041,0.74579877
23848,67391,0.3476331
23852,50464,1.5840495
23853,571527,0.92432374
23860,67443,0.7284
23870,64350,0.925674
23871,63342,0.75920993
23874,51359,2.971366
23879,52391,0.76840276
23895,66630,2.9605408
23903,68902,0.5068566
23904,64995,2.1097798
23910,67962,1.9836769
23915,664641,0.43953818
23929,76355,0.9117325
23943,68249,2.5364366
23944,69994,0.55438894
23950,69984,0.9249498
23951,50995,0.33855218
23964,60559,3.5853875
23977,67703,1.541334
23988,50157,0.5032021
24013,62920,0.43221766
24018,67419,0.4215662
24021,69446,1.1637244
24038,63950,0.4693159
24042,605156,1.2820156
24043,68659,1.1287594
24051,65949,1.2419436
24063,502010,0.638392
24085,64017,0.51933277
24097,68703,1.3371055
24099,66068,0.6871193
24100,52994,0.40282664
24105,62929,0.8846191
24109,68905,1.0276046
24110,67956,0.8433699
24113,68242,3.3406827
24115,67539,0.58219045
24117,79293,0.598375
24129,50203,0.29477495
24140,621141,0.9699509
24146,65392,0.6912615
24151,79358,0.80287546
24152,66451,0.82590187
24153,65496,2.8298004
24164,50449,0.3656868
24169,61411,1.9521375
24179,543001,0.49672586
24209,63894,0.87649757
24222,657122,1.1198518
24223,623381,0.46700066
24224,50905,2.0155132
24226,52902,2.5167043
24229,52905,1.7911922
24234,63914,0.4467884
24239,571616,0.34115466
24252,69113,0.98564476
24253,67143,0.72376806
24259,79140,2.5785065
24265,79545,1.5078074
24269,642098,0.30395412
24300,592644,0.65178245
24303,663399,0.1125269
24305,51264,0.9250419
24306,50556,0.5832576
24307,50992,0.6423922
24310,69991,0.33257207
24313,68896,0.522295
