Column,Dtype,Missing_Count,Missing_Pct,Unique_Count,Min,Max,Inf_Count
row_id,string,0,0.0000%,1475092,N/A,N/A,0
season,int16,0,0.0000%,6,2019,2024,0
top_bottom,category,0,0.0000%,2,N/A,N/A,0
control_success,int8,0,0.0000%,2,0,1,0
pitcher_id,int32,0,0.0000%,792,20700,24633,0
runner_on_1b,int8,0,0.0000%,2,0,1,0
runner_on_2b,int8,0,0.0000%,2,0,1,0
runner_on_3b,int8,0,0.0000%,2,0,1,0
num_runners_on,int8,0,0.0000%,4,0,3,0
base_state,category,0,0.0000%,8,N/A,N/A,0
home_win_expectancy,float32,0,0.0000%,977,0.0,100.0,0
away_win_expectancy,float32,0,0.0000%,981,0.0,100.0,0
li,float32,0,0.0000%,502,0.0,10.83,0
asof_pitcher_n,float32,0,0.0000%,15450,0.0,15449.0,0
asof_pitcher_success_rate,float32,792,0.0537%,220896,0.0,1.0,0
asof_pitcher_reverse_rate,float32,792,0.0537%,228112,0.0,1.0,0
asof_pitcher_middle_rate,float32,792,0.0537%,120993,0.0,1.0,0
asof_pitcher_ball_rate,float32,792,0.0537%,144809,0.0,1.0,0
asof_pitcher_strike_rate,float32,792,0.0537%,131532,0.0,1.0,0
asof_pitcher_pitchmix_n,float32,0,0.0000%,15450,0.0,15449.0,0
asof_pitcher_fastball_rate,float32,792,0.0537%,337588,0.0,1.0,0
asof_pitcher_breaking_rate,float32,792,0.0537%,386613,0.0,1.0,0
asof_pitcher_offspeed_rate,float32,792,0.0537%,449454,0.0,1.0,0
