Variable,Type,Valid_N,Mean,Std,Min,Q1,Median,Q3,P95,P99,Max,Null_Count,Null_Rate
asof_pitcher_n,Count,1475092,2661.3232,2690.0125,0.0,684.0,1776.0,3725.0,8530.0,11870.0,15449.0,0,0.0000%
asof_pitcher_pitchmix_n,Count,1475092,2661.3232,2690.0125,0.0,684.0,1776.0,3725.0,8530.0,11870.0,15449.0,0,0.0000%
asof_pitcher_success_rate,Rate (0~1),1474300,0.5352282,0.061757326,0.0,0.49907299876213074,0.532022,0.5690450072288513,0.6320582032203674,0.703825056552887,1.0,792,0.0537%
asof_pitcher_reverse_rate,Rate (0~1),1474300,0.21520993,0.060667835,0.0,0.17893974483013153,0.218025,0.2510640025138855,0.3079580068588257,0.3628571331501007,1.0,792,0.0537%
asof_pitcher_middle_rate,Rate (0~1),1474300,0.14186484,0.031768583,0.0,0.1256439983844757,0.141903,0.15702499449253082,0.18703599274158478,0.22118400037288666,1.0,792,0.0537%
asof_pitcher_ball_rate,Rate (0~1),1474300,0.3722429,0.04183633,0.0,0.3480910062789917,0.369369,0.39216625690460205,0.43421098589897156,0.48855000734329224,1.0,792,0.0537%
asof_pitcher_strike_rate,Rate (0~1),1474300,0.44187567,0.039616995,0.0,0.4230769872665405,0.442289,0.46244099736213684,0.4951460063457489,0.5211269855499268,1.0,792,0.0537%
asof_pitcher_fastball_rate,Rate (0~1),1474300,0.55438346,0.09911775,0.0,0.4864859879016876,0.544041,0.6136360168457031,0.7297379970550537,0.8289470076560974,1.0,792,0.0537%
asof_pitcher_breaking_rate,Rate (0~1),1474300,0.28927428,0.10832206,0.0,0.21585874259471893,0.289301,0.36180099844932556,0.46615004539489746,0.5492960214614868,1.0,792,0.0537%
asof_pitcher_offspeed_rate,Rate (0~1),1474300,0.15634225,0.10847192,0.0,0.07500000298023224,0.1405625,0.2170110046863556,0.3648150861263275,0.4664471447467804,1.0,792,0.0537%
